epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.13,1.24129,3.47131,1.456,0.48441,0.49329,0.45744,0.24647,1.40678,3.06351,1.52892,0.000475154,0.000475154,0.000475154
2,128.997,1.2874,2.06196,1.46497,0.51804,0.58288,0.55874,0.35015,1.33603,1.97034,1.46799,0.00085729,0.00085729,0.00085729
3,177.833,1.27295,1.60973,1.45248,0.74209,0.62996,0.70706,0.43827,1.3044,1.46921,1.41418,0.00114511,0.00114511,0.00114511
4,225.483,1.21263,1.34634,1.39256,0.82204,0.74455,0.80336,0.53547,1.15616,1.33612,1.31342,0.00100459,0.00100459,0.00100459
5,273.503,1.11034,1.11647,1.31057,0.78266,0.72101,0.80462,0.56027,1.11021,1.27721,1.26032,0.000863116,0.000863116,0.000863116
6,321.263,1.04015,0.96084,1.25838,0.8665,0.78184,0.87227,0.62309,1.02705,0.96251,1.20655,0.000721645,0.000721645,0.000721645
7,368.919,0.94751,0.81254,1.19351,0.87015,0.86489,0.90264,0.6783,0.91714,0.77931,1.13332,0.000580174,0.000580174,0.000580174
8,416.665,0.89058,0.70333,1.1557,0.87103,0.88642,0.92196,0.68598,0.95259,0.73412,1.1483,0.000438703,0.000438703,0.000438703
9,464.638,0.83494,0.63495,1.12101,0.89911,0.88244,0.91965,0.70108,0.93194,0.72007,1.12211,0.000297232,0.000297232,0.000297232
10,513.021,0.77953,0.55549,1.08315,0.92175,0.914,0.93285,0.73519,0.86622,0.655,1.09115,0.000155761,0.000155761,0.000155761
