epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4209,1.2693,2.95879,1.45972,0.55837,0.43937,0.48533,0.31314,1.24844,2.44038,1.46078,0.000475154,0.000475154,0.000475154
2,112.647,1.34444,2.10965,1.4917,0.60039,0.56579,0.57835,0.3426,1.3451,1.80473,1.50778,0.000932648,0.000932648,0.000932648
3,161.578,1.3629,1.82158,1.49171,0.63547,0.57241,0.64322,0.41104,1.28487,1.65214,1.46246,0.00137128,0.00137128,0.00137128
4,211.427,1.32641,1.69747,1.45271,0.76382,0.60027,0.7107,0.46897,1.1989,2.13621,1.35865,0.00134412,0.00134412,0.00134412
5,264.882,1.26138,1.48962,1.40621,0.77186,0.67899,0.75641,0.47844,1.24861,1.4915,1.40865,0.00131582,0.00131582,0.00131582
6,313.415,1.21576,1.38763,1.37285,0.75986,0.76264,0.8189,0.54457,1.1429,1.09921,1.30923,0.00128753,0.00128753,0.00128753
7,361.222,1.1705,1.29755,1.34019,0.83895,0.79629,0.85599,0.59904,1.10974,1.00803,1.29425,0.00125923,0.00125923,0.00125923
8,409.074,1.15228,1.22164,1.32235,0.84215,0.80864,0.84158,0.59406,1.07058,0.96208,1.25817,0.00123094,0.00123094,0.00123094
9,456.947,1.10026,1.13464,1.29424,0.87726,0.82168,0.88062,0.64783,1.00403,0.94069,1.1987,0.00120265,0.00120265,0.00120265
10,505.589,1.08491,1.11994,1.28054,0.87708,0.8334,0.89961,0.67194,0.97323,0.89662,1.1737,0.00117435,0.00117435,0.00117435
11,556.768,1.06019,1.06453,1.26465,0.89905,0.81358,0.90058,0.66292,0.98919,0.80061,1.18804,0.00114606,0.00114606,0.00114606
12,613.203,1.04611,1.03317,1.24868,0.88181,0.86481,0.90915,0.66643,0.98279,0.85359,1.18636,0.00111776,0.00111776,0.00111776
13,669.936,1.02763,0.9906,1.23432,0.91403,0.85984,0.91505,0.69499,0.92928,0.77446,1.14155,0.00108947,0.00108947,0.00108947
14,725.09,1.01075,0.96287,1.22911,0.88883,0.84609,0.89865,0.68555,0.91018,0.77633,1.12211,0.00106118,0.00106118,0.00106118
15,779.827,0.99047,0.94539,1.21968,0.87975,0.86954,0.90942,0.70127,0.92339,0.79553,1.1482,0.00103288,0.00103288,0.00103288
16,834.386,0.98144,0.92915,1.20573,0.91455,0.88171,0.93236,0.70611,0.91659,0.65982,1.12451,0.00100459,0.00100459,0.00100459
17,887.48,0.96489,0.88076,1.2003,0.89458,0.87964,0.9256,0.70217,0.91745,0.70663,1.13081,0.000976293,0.000976293,0.000976293
18,940.221,0.96219,0.87417,1.20357,0.91567,0.86871,0.9323,0.68925,0.9327,0.6894,1.15306,0.000947999,0.000947999,0.000947999
19,992.09,0.93419,0.83534,1.18386,0.9168,0.89751,0.93102,0.70212,0.94167,0.65588,1.13755,0.000919704,0.000919704,0.000919704
20,1043.68,0.9327,0.82484,1.17691,0.91543,0.89278,0.93093,0.71994,0.92655,0.65793,1.13209,0.00089141,0.00089141,0.00089141
21,1101.43,0.90272,0.79724,1.16392,0.91272,0.90135,0.93599,0.71146,0.91415,0.63757,1.12116,0.000863116,0.000863116,0.000863116
22,1157.35,0.90826,0.79843,1.16441,0.91877,0.9138,0.94401,0.72937,0.91426,0.59889,1.12818,0.000834822,0.000834822,0.000834822
23,1214.35,0.90597,0.79069,1.16394,0.92255,0.88178,0.92743,0.71248,0.89149,0.62303,1.11,0.000806528,0.000806528,0.000806528
24,1270.12,0.88985,0.77547,1.14885,0.91072,0.91405,0.94073,0.72736,0.90348,0.59868,1.1136,0.000778233,0.000778233,0.000778233
25,1324.83,0.8656,0.73625,1.14159,0.91957,0.91235,0.93805,0.72337,0.90606,0.63356,1.11445,0.000749939,0.000749939,0.000749939
26,1381.94,0.86998,0.72941,1.1379,0.91125,0.91858,0.9425,0.73976,0.87362,0.56845,1.10332,0.000721645,0.000721645,0.000721645
27,1439.34,0.84655,0.71211,1.12215,0.94803,0.91653,0.94211,0.73576,0.89264,0.56249,1.10844,0.000693351,0.000693351,0.000693351
28,1497.08,0.85235,0.7104,1.12664,0.9086,0.91582,0.94429,0.74043,0.87023,0.55978,1.09758,0.000665057,0.000665057,0.000665057
29,1553.77,0.83603,0.70175,1.12071,0.94284,0.90949,0.94313,0.73906,0.87203,0.55579,1.09536,0.000636762,0.000636762,0.000636762
30,1612.4,0.81375,0.65664,1.10021,0.92213,0.9123,0.9419,0.74795,0.85162,0.55675,1.08672,0.000608468,0.000608468,0.000608468
31,1669.04,0.81051,0.67968,1.10798,0.93823,0.89814,0.94336,0.74889,0.85676,0.56186,1.08658,0.000580174,0.000580174,0.000580174
32,1720.98,0.79522,0.63816,1.09529,0.9613,0.9099,0.94549,0.74769,0.87882,0.52962,1.10799,0.00055188,0.00055188,0.00055188
33,1776.86,0.79492,0.62995,1.09785,0.95326,0.91209,0.95159,0.75089,0.85757,0.51231,1.09096,0.000523586,0.000523586,0.000523586
34,1831.78,0.78463,0.62698,1.08614,0.94837,0.91463,0.95126,0.75377,0.87697,0.49802,1.09788,0.000495291,0.000495291,0.000495291
35,1885.8,0.77499,0.61089,1.0816,0.94339,0.93514,0.9533,0.75898,0.85178,0.51523,1.08026,0.000466997,0.000466997,0.000466997
36,1941.66,0.75225,0.59163,1.07184,0.96321,0.90881,0.95237,0.74983,0.86685,0.47772,1.09309,0.000438703,0.000438703,0.000438703
37,1995.31,0.75166,0.59829,1.07335,0.95356,0.92408,0.95876,0.76438,0.84552,0.47223,1.08952,0.000410409,0.000410409,0.000410409
38,2047.2,0.73622,0.56818,1.0628,0.94485,0.91529,0.95241,0.75537,0.84531,0.50038,1.0938,0.000382115,0.000382115,0.000382115
