epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.075,1.30038,2.54638,1.59618,0.3989,0.4746,0.39266,0.21585,1.58961,2.22691,1.71233,0.000475154,0.000475154,0.000475154
2,200.63,1.41691,1.85972,1.66508,0.6535,0.46377,0.57157,0.32353,1.41404,2.32347,1.66481,0.00085729,0.00085729,0.00085729
3,287.114,1.36336,1.68808,1.60254,0.57995,0.4943,0.5166,0.31094,1.4012,3.40291,1.58728,0.00114511,0.00114511,0.00114511
4,370.933,1.24533,1.41324,1.50465,0.71863,0.73587,0.76794,0.50699,1.1934,1.26713,1.44819,0.00100459,0.00100459,0.00100459
5,457.84,1.13948,1.17272,1.4056,0.77245,0.77587,0.81248,0.55741,1.12044,1.20424,1.35152,0.000863116,0.000863116,0.000863116
6,542.84,1.08568,1.035,1.35043,0.83039,0.79045,0.84361,0.59684,1.06488,1.04627,1.28541,0.000721645,0.000721645,0.000721645
7,626.435,0.97992,0.86045,1.27769,0.85269,0.86525,0.89639,0.6505,0.98721,0.86807,1.22513,0.000580174,0.000580174,0.000580174
8,717.382,0.91423,0.72905,1.22313,0.91512,0.83865,0.90935,0.68272,0.93437,0.79795,1.19601,0.000438703,0.000438703,0.000438703
9,804.355,0.84674,0.63943,1.17905,0.91001,0.88052,0.92009,0.7127,0.91928,0.7356,1.15349,0.000297232,0.000297232,0.000297232
10,884.446,0.77486,0.54758,1.12054,0.91671,0.90617,0.93252,0.73581,0.85955,0.66104,1.13995,0.000155761,0.000155761,0.000155761
